sample_id,species,population,subspecies,city_region,country,lat,long,western_hemisphere,coverage,relatedness,inbreeding,PC1,PC2,cluster
Ascu_Bot2,A. mellifera,A,A. m. scutellata,Gaborone,Botswana,-24.72029,25.937353,N,55.871,Unrelated,0.091763741,0.056926456,-0.005760985,2
Ascu_k6,A. mellifera,A,A. m. scutellata,"Mt. Elgon, Chepkui",Kenya,1.068589,34.684871,N,20.0884,Unrelated,0.076018012,0.057134177,-0.008252786,2
Ascu_Ken1,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,9.82748,Unrelated,0.191582298,0.054711166,-0.003795347,2
Ascu_Ken10,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,8.00577,Unrelated,0.284244481,0.050750977,-0.002683934,2
Ascu_Ken11,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,8.80434,Unrelated,0.238800778,0.052152386,-0.003064539,2
Ascu_Ken12,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,12.8782,Unrelated,0.130545292,0.056458687,-0.008867841,2
Ascu_Ken13,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,9.89727,Unrelated,0.184906295,0.055421421,-0.004568098,2
Ascu_Ken14,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,15.795,Unrelated,0.1069565,0.060297419,-0.006688688,2
Ascu_Ken15,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,10.5057,Unrelated,0.176877155,0.05519341,-0.004959524,2
Ascu_Ken16,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,12.2628,Unrelated,0.142577796,0.056871936,-0.006273508,2
Ascu_Ken17,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,6.11946,Unrelated,0.391138846,0.044203943,3.89E-04,7
Ascu_Ken18,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,9.13805,Unrelated,0.243260956,0.052000486,-0.00338674,2
Ascu_Ken19,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,14.6713,Unrelated,0.119816825,0.057704814,-0.006798881,2
Ascu_Ken2,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,13.7097,Unrelated,0.127776464,0.057389401,-0.00671892,2
Ascu_Ken3,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,10.6817,Unrelated,0.174280909,0.057395577,-0.005763046,2
Ascu_Ken5,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,10.079,Unrelated,0.17850205,0.053026991,-0.005531603,2
Ascu_Ken6,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,9.21161,Unrelated,0.204722217,0.054373637,-0.004282647,2
Ascu_Ken7,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,9.26169,Unrelated,0.215680889,0.052651448,-0.004733816,2
Ascu_Ken8,A. mellifera,A,A. m. scutellata,Mau savannah lowland,Kenya,-0.9517,35.4536,N,12.6608,Unrelated,0.145083593,0.055520613,-0.006046492,2
Ascu_Ken9,A. mellifera,A,A. m. scutellata,Mt Kenya savannah lowland,Kenya,0.0881,38.19,N,9.42593,Unrelated,0.234623695,0.052678369,-0.003498479,2
Ascu_lamark1,A. mellifera,A,A. m. scutellata,Mandera Town,Kenya,3.934086,41.855199,N,59.3061,Related,0.10983266,0.058205478,-0.006042758,2
Ascu_lamark2,A. mellifera,A,A. m. scutellata,Mandera Town,Kenya,3.934086,41.855199,N,64.7494,Related,0.108395454,0.05535872,-0.005644346,2
Ascu_lamark3,A. mellifera,A,A. m. scutellata,Mandera Town,Kenya,3.934086,41.855199,N,62.8317,Unrelated,0.105577691,0.056536455,-0.005371381,2
Ascu_litZim1,A. mellifera,A,A. m. scutellata,Harare,Zimbabwe,-17.859502,31.055411,N,57.1766,Unrelated,0.084901862,0.05854532,-0.007921383,2
Ascu_litZim3,A. mellifera,A,A. m. scutellata,Harare,Zimbabwe,-17.859502,31.055411,N,56.3474,Unrelated,0.090356435,0.06012644,-0.007429892,2
Asim_yem2,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,60.1154,Unrelated,0.092742634,0.059384198,-0.006708353,2
Asim_yem3,A. mellifera,A,A. m. scutellata,Mandera West,Kenya,3.934086,41.855199,N,58.7044,Related,0.091149943,0.057928964,-0.006255551,2
Asim_yem6,A. mellifera,A,A. m. monticola,Mandera West,Kenya,3.934086,41.855199,N,55.5599,Unrelated,0.10287649,0.060689337,-0.010280424,2
